(1737, '131102201801783', '暂存室', '无害化处理')
(9078, '131102201804682', '暂存室', '无害化处理')
(13355, '1311022022300985', '待售舍', '1栏')
(15402, '131102202402039', '南厂区5单元', '10栏')
(15409, '131102202402072', '待售舍', '')
(15410, '131102202402046', '待售舍', '')
(15417, '131102202300780', '北厂区6舍B东', '19栏')
(15418, '131102202300740', '南厂区1单元', '1栏')
(15420, '131102202300720', '待售舍', '1栏')
(15421, '131102202300651', '南厂区4单元', '12栏')
(15438, '131102201920425', '北厂区2舍东', '1-3栏')
(15466, '131102202107353', '待售舍', '')
(15481, '131102202210480', '待售舍', '1栏')
(15488, '131102202300682', '北厂区6舍B东', '19栏')
(15491, '131102202210033', '南厂区4单元', '12栏')
(15497, '131102202300796', '北厂区5舍西', '1栏')
(15501, '131102202300675', '待售舍', '1栏')
(15511, '131102202300706', '南厂区4单元', '9栏')
(15514, '131102202300783', '南厂区5单元', '10栏')
(15516, '131102202300739', '南厂区5单元', '9栏')
(15524, '131102202300756', '南厂区5单元', '10栏')
(15537, '131102202210479', '南厂区1单元', '10栏')
(15575, '131102202300239', '南厂区5单元', '5栏')
(15635, '131102202410188', '南厂区3单元', '9栏')
(15636, '131102202410186', '南厂区4单元', '8栏')
(15647, '131102202300080', '待售舍', '')
(15648, '131102202302871', '北厂区1舍东', '1-3栏')
(15658, '131102202400574', '北厂区6舍B东', '6栏')
(15670, '131102202230760', '后院', '无害化处理')
(15673, '131102202300436', '北厂区1舍东', '9-11栏')
(15683, '131102202300446', '北厂区1舍东', '4-6栏')
(15785, '131102202400501', '南厂区5单元', '10栏')
(15787, '131102202210614', '南厂区6单元', '11栏')
(15789, '131102202210694', '南厂区6单元', '11栏')
(15791, '131102202210644', '南厂区6单元', '11栏')
(15799, '131102202402255', '南厂区4单元', '9栏')
(15816, '131102202230916', '北厂区1舍西', '9-11栏')
(15824, '131102202230653', '北厂区10舍西', '1-3栏')
(15841, '131102202400557', '南厂区3单元', '9栏')
(15851, '131102201921089', '暂存室', '无害化处理')
(15857, '131102202302497', '北厂区6舍B西', '10栏')
(15866, '131102202402218', '北厂区6舍B西', '1栏')
(15880, '131102202410192', '南厂区3单元', '9栏')
(15897, '131102202241152', '待售舍', '1栏')
(15906, '131102201801848', '南厂区6单元', '12栏')
(15910, '131102202100524', '北厂区1舍东', '1-3栏')
(15939, '131102202101917', '后院', '无害化处理')
(15954, '131102201804814', '南厂区5单元', '9栏')
(15968, '131102202401275', '待售舍', '')
(15974, '131102202230032', '南厂区6单元', '1栏')
(15975, '131102202241588', '北厂区1舍西', '9-11栏')
(15980, '131102202230577', '北厂区1舍西', '9-11栏')
(15982, '131102202302945', '北厂区1舍西', '9-11栏')
(15983, '131102202240239', '北厂区1舍西', '9-11栏')
(15992, '131102201920592', '北厂区10舍东', '9-11栏')
(16000, '131102202301912', '暂存室', '无害化处理')
(16014, '131102202106070', '北厂区6舍A东', '7栏')
(16031, '131102202100440', '待售舍', '1栏')
(16056, '131102202107003', '北厂区6舍A东', '1栏')
(16063, '131102202301025', '待售舍', '1栏')
(19163, '131102202410814', '北厂区7舍西', '4-6栏')
(19164, '131102202410837', '北厂区7舍东', '1-3栏')
(19165, '131102202410833', '南厂区1单元', '11栏')
(19166, '131102202410808', '北厂区7舍西', '4-6栏')
(19167, '131102202410822', '北厂区7舍西', '4-6栏')
(19168, '131102202410825', '北厂区2舍东', '9-11栏')
(19242, '131102202410836', '北厂区7舍西', '4-6栏')
(19243, '131102202410811', '北厂区2舍东', '9-11栏')
(20340, '131102202410395', '南厂区1单元', '7栏')
(20341, '131102202410457', '北厂区7舍东', '9-11栏')
(20342, '131102202403429', '南厂区6单元', '11栏')
(20343, '131102202403489', '南厂区1单元', '11栏')
(20344, '131102202410356', '北厂区7舍东', '9-11栏')
(20346, '131102202403500', '北厂区6舍B西', '18栏')
(20347, '131102202403465', '北厂区6舍B西', '18栏')
(20349, '131102202403461', '北厂区6舍B西', '18栏')
(20350, '131102202403467', '北厂区6舍B西', '18栏')
(20351, '131102202403442', '北厂区6舍B西', '18栏')
(20352, '131102202410367', '北厂区7舍东', '9-11栏')
(20353, '131102202410350', '南厂区1单元', '7栏')
(20354, '131102202403460', '北厂区6舍B西', '18栏')
(20502, '2403497', '南厂区3单元', '12栏')
(20503, '2403439', '南厂区3单元', '12栏')
(20504, '2403486', '南厂区4单元', '12栏')
(20505, '2403443', '南厂区4单元', '12栏')
(20506, '2403485', '南厂区4单元', '12栏')
(20507, '2403422', '南厂区4单元', '12栏')
(20508, '2403459', '南厂区4单元', '12栏')
(20509, '2403468', '南厂区4单元', '12栏')
(20510, '2403452', '南厂区4单元', '12栏')
(20511, '2403430', '南厂区4单元', '12栏')
(20512, '2403496', '南厂区3单元', '12栏')
(20513, '2403457', '南厂区4单元', '12栏')
(20514, '2403478', '南厂区4单元', '12栏')
(20515, '2403495', '南厂区3单元', '12栏')
(20516, '2403408', '南厂区4单元', '12栏')
(20517, '2403472', '南厂区3单元', '12栏')
(20518, '2403464', '南厂区3单元', '12栏')
(20519, '2403453', '南厂区4单元', '12栏')
(20520, '2403447', '南厂区4单元', '12栏')
(20521, '2403449', '南厂区4单元', '12栏')
(20522, '2403494', '南厂区3单元', '12栏')
(20523, '2403446', '南厂区3单元', '12栏')
(20524, '2403432', '南厂区4单元', '12栏')
(20525, '2403441', '南厂区4单元', '12栏')
(20526, '2403483', '南厂区3单元', '12栏')
(20527, '2403493', '南厂区4单元', '12栏')
(20528, '2403423', '南厂区3单元', '12栏')
(20529, '2403458', '南厂区4单元', '12栏')
(20530, '2403942', '南厂区4单元', '12栏')
(20531, '2403482', '南厂区4单元', '12栏')
(20532, '2403454', '南厂区4单元', '12栏')
(20533, '2400406', '南厂区3单元', '12栏')
(20534, '2400445', '南厂区3单元', '12栏')
(20535, '2301629', '南厂区3单元', '12栏')
(20536, '2400456', '南厂区3单元', '12栏')
(20537, '2400739', '南厂区3单元', '12栏')
(20538, '2400741', '南厂区3单元', '12栏')
(20539, '2400465', '南厂区3单元', '12栏')
(20540, '2400418', '南厂区3单元', '12栏')
(20699, '2403754', '南厂区1单元', '9栏')
(20700, '2403798', '南厂区1单元', '9栏')
(20701, '2403782', '南厂区1单元', '9栏')
(20702, '2403749', '南厂区1单元', '9栏')
(20703, '2301646', '南厂区1单元', '9栏')
(20704, '2403768', '南厂区1单元', '9栏')
(20705, '2403792', '南厂区1单元', '9栏')
(20706, '2403790', '南厂区1单元', '9栏')
(20707, '2403750', '南厂区1单元', '9栏')
(20708, '2400766', '南厂区1单元', '9栏')
(20709, '2403780', '南厂区1单元', '9栏')
(20710, '2403702', '南厂区1单元', '9栏')
(20711, '2403745', '南厂区1单元', '9栏')
(20712, '2403775', '南厂区1单元', '9栏')
(20713, '2403764', '南厂区1单元', '9栏')
(20714, '2403703', '南厂区1单元', '9栏')
(20715, '2403701', '南厂区1单元', '9栏')
(20716, '2403770', '南厂区1单元', '9栏')
(20717, '2403789', '南厂区1单元', '9栏')
(20718, '2400753', '南厂区1单元', '9栏')
(20719, '2403743', '南厂区1单元', '9栏')
(20720, '2403724', '南厂区1单元', '9栏')
(20721, '2403720', '南厂区1单元', '9栏')
(20722, '2403734', '南厂区1单元', '9栏')
(20724, '2403723', '南厂区1单元', '9栏')
(20725, '2403716', '南厂区1单元', '9栏')
(20726, '2403757', '南厂区1单元', '9栏')
(20727, '2400702', '南厂区1单元', '9栏')
(20728, '2400776', '南厂区1单元', '9栏')
(20729, '2400740', '南厂区1单元', '9栏')
(20730, '2403730', '南厂区1单元', '9栏')
(20731, '2403753', '南厂区1单元', '9栏')
(20732, '2403709', '南厂区1单元', '9栏')
(20733, '2403795', '南厂区1单元', '9栏')
(20734, '2403763', '南厂区1单元', '8栏')
(20735, '2400748', '南厂区1单元', '8栏')
(20736, '2403774', '南厂区1单元', '8栏')
(20737, '2400708', '南厂区1单元', '8栏')
(20738, '2403711', '南厂区1单元', '8栏')
(20739, '2400795', '南厂区1单元', '8栏')
(20740, '2403741', '南厂区1单元', '8栏')
(20741, '2403772', '南厂区1单元', '8栏')
(20742, '2403777', '南厂区1单元', '8栏')
(20743, '2403748', '南厂区1单元', '8栏')
(20744, '2403765', '南厂区1单元', '8栏')
(20745, '2403751', '南厂区1单元', '8栏')
(20746, '2403779', '南厂区1单元', '8栏')
(20747, '2403794', '南厂区1单元', '8栏')
(20748, '2403793', '南厂区1单元', '8栏')
(20749, '2403721', '南厂区1单元', '8栏')
(20750, '2403718', '南厂区1单元', '8栏')
(20751, '2403788', '南厂区1单元', '8栏')
(20752, '2403767', '南厂区1单元', '8栏')
(20753, '2403713', '南厂区1单元', '8栏')
(20754, '2403781', '南厂区1单元', '8栏')
(20755, '2403742', '南厂区1单元', '8栏')
(20756, '2403761', '南厂区1单元', '8栏')
(20757, '2403796', '南厂区1单元', '8栏')
(20758, '2403731', '南厂区1单元', '8栏')
(20759, '2403722', '南厂区1单元', '8栏')
(20760, '2403783', '南厂区1单元', '8栏')
(20761, '2403737', '南厂区1单元', '8栏')
(20762, '2400715', '南厂区1单元', '8栏')
(20763, '2403800', '南厂区1单元', '8栏')
(20764, '2403735', '南厂区1单元', '8栏')
(20765, '2403755', '南厂区1单元', '8栏')
(20766, '2400738', '南厂区1单元', '8栏')
(20767, '2400784', '南厂区1单元', '8栏')
(20768, '2403776', '南厂区1单元', '8栏')
(20769, '2400750', '南厂区1单元', '8栏')
(20770, '2400747', '南厂区1单元', '8栏')
(20771, '2403733', '南厂区1单元', '8栏')
(20772, '2403704', '南厂区1单元', '8栏')
(20773, '2403714', '南厂区1单元', '8栏')
(20774, '2400757', '南厂区1单元', '8栏')
(20775, '2400712', '南厂区1单元', '8栏')
(20896, '131102202400265', '南厂区1单元', '7栏')
(20897, '131102202400261', '南厂区1单元', '7栏')
(20898, '131102202400284', '南厂区1单元', '7栏')
(20899, '131102202400267', '南厂区1单元', '7栏')
(20900, '131102202400201', '南厂区1单元', '7栏')
(20901, '131102202400263', '南厂区1单元', '7栏')
(20902, '131102202400293', '南厂区1单元', '7栏')
(20903, '131102202400299', '南厂区1单元', '7栏')
(20904, '131102202400285', '南厂区1单元', '7栏')
(20905, '131102202400239', '南厂区1单元', '7栏')
(20906, '131102202400275', '南厂区1单元', '7栏')
(20907, '131102202400236', '南厂区1单元', '7栏')
(20908, '131102202400274', '南厂区1单元', '7栏')
(20909, '131102202400219', '南厂区1单元', '7栏')
(20910, '131102202400212', '南厂区1单元', '7栏')
(20911, '131102202400258', '南厂区1单元', '7栏')
(20912, '131102202400262', '南厂区1单元', '7栏')
(20913, '131102202400226', '南厂区1单元', '7栏')
(20914, '131102202400254', '南厂区1单元', '7栏')
(20915, '131102202403693', '南厂区1单元', '7栏')
(20916, '131102202403694', '南厂区1单元', '7栏')
(20917, '131102202403658', '南厂区1单元', '7栏')
(20918, '131102202403657', '南厂区1单元', '7栏')
(20919, '131102202403667', '南厂区1单元', '7栏')
(20920, '131102202403649', '南厂区1单元', '7栏')
(20921, '131102202403664', '南厂区1单元', '7栏')
(20922, '131102202403675', '南厂区1单元', '7栏')
(20923, '131102202403614', '南厂区1单元', '7栏')
(20924, '131102202403617', '南厂区1单元', '7栏')
(20925, '131102202400257', '南厂区1单元', '9栏')
(20926, '131102202400270', '南厂区1单元', '9栏')
(20927, '131102202400292', '南厂区1单元', '9栏')
(20928, '131102202400222', '南厂区1单元', '9栏')
(20929, '131102202400213', '南厂区1单元', '9栏')
(20930, '131102202400260', '南厂区1单元', '9栏')
(20931, '131102202400271', '南厂区1单元', '9栏')
(20932, '131102202400291', '南厂区1单元', '9栏')
(20933, '131102202400217', '南厂区1单元', '9栏')
(20934, '131102202400283', '南厂区1单元', '9栏')
(20935, '131102202400288', '南厂区1单元', '9栏')
(20936, '131102202400204', '南厂区1单元', '9栏')
(20937, '131102202400238', '南厂区1单元', '9栏')
(20938, '131102202400235', '南厂区1单元', '9栏')
(20939, '131102202400202', '南厂区1单元', '9栏')
(20940, '131102202400241', '南厂区1单元', '9栏')
(20942, '131102202403660', '南厂区1单元', '9栏')
(20943, '131102202403700', '南厂区1单元', '9栏')
(20944, '131102202403635', '南厂区1单元', '9栏')
(20945, '131102202403630', '南厂区1单元', '9栏')
